team	wk	period
Ten	15	Sunday morning
Car	15	Sunday morning
Ari	15	Sunday morning
Buf	15	Sunday morning
GB	15	Sunday afternoon
Cle	15	Sunday afternoon
Den	15	Sunday afternoon
Mia	15	Sunday afternoon
Cin	15	Sunday evening
Det	15	Monday evening
SD	16	Thursday evening
Wsh	16	Saturday evening
Car	16	Sunday morning
Dal	16	Sunday morning
SF	16	Sunday morning
Cle	16	Sunday morning
Ind	16	Sunday morning
NYG	16	Sunday morning
Jax	16	Sunday morning
NE	16	Sunday morning
Chi	16	Sunday morning
Hou	16	Sunday morning
GB	16	Sunday afternoon
StL	16	Sunday afternoon
Pit	16	Sunday evening
Cin	16	Monday evening
NO	17	Sunday morning
NYJ	17	Sunday morning
TB	17	Sunday morning
Det	17	Sunday morning
Bal	17	Sunday morning
Pit	17	Sunday morning
Wsh	17	Sunday morning
Min	17	Sunday morning
Jax	17	Sunday morning
Ten	17	Sunday morning
Oak	17	Sunday morning
NE	17	Sunday morning
Phi	17	Sunday morning
Sea	17	Sunday afternoon
SD	17	Sunday afternoon
StL	17	Sunday afternoon
