iteration_num	sequential_player	serpentine_player	choice	sum	sd	spot	true_rank	rank	sum_rank	sd_rank	num_players
8	Player2	Player3	Pick #6	9.01	1.53	s17	28	10	12	19	Four players
8	Player3	Player2	Pick #7	9.01	0.6	s23	36.5	15	12	2	Four players
8	Player4	Player1	Pick #8	7.85	2.63	s3	38	16	18	23	Four players
8	Player1	Player1	Pick #1	12.26	1.89	s15	7.5	1	2	18	Four players
8	Player2	Player2	Pick #2	11.02	3.3	s17	8.5	2	4	24	Four players
8	Player3	Player3	Pick #3	11.94	0.93	s6	13.5	4	3	10	Four players
8	Player4	Player4	Pick #4	10.68	0.75	s22	22.75	6	6	5	Four players
8	Player1	Player4	Pick #5	10.38	0.68	s10	29	11	9	3	Four players
8	Player2	Player3	Pick #6	9.59	1.2	s8	30.5	12	12	12	Four players
8	Player3	Player2	Pick #7	8	2.41	s19	35.5	15	17	22	Four players
8	Player4	Player1	Pick #8	8.54	0.83	s4	38.5	16	15	8	Four players
8	Player1	Player1	Pick #1	12	2.19	s7	6	1	2	21	Four players
8	Player2	Player2	Pick #2	12.72	1.54	s11	7.5	2	1	14	Four players
8	Player3	Player3	Pick #3	9.85	2.04	s9	19	6	8	19	Four players
8	Player4	Player4	Pick #4	11.31	0.66	s1	20	7	5	5	Four players
8	Player1	Player4	Pick #5	9.97	0.5	s17	26	8	7	1	Four players
8	Player2	Player3	Pick #6	9.57	0.71	s5	28.5	9	10	8	Four players
8	Player3	Player2	Pick #7	8.91	2.74	s23	29.5	10	14	24	Four players
8	Player4	Player1	Pick #8	9.5	0.58	s13	33	12	11	3	Four players
8	Player1	Player1	Pick #1	12.39	2.17	s2	9	1	3	19	Four players
8	Player2	Player2	Pick #2	12.7	0.69	s9	15	3	2	3	Four players
8	Player3	Player3	Pick #3	11.03	1.13	s7	20	6	6	9	Four players
8	Player4	Player4	Pick #4	9.68	2.29	s5	22.5	7	10	20	Four players
8	Player1	Player4	Pick #5	9.36	2.79	s18	26.5	9	13	24	Four players
8	Player2	Player3	Pick #6	9.43	2.16	s20	27.5	10	12	18	Four players
8	Player3	Player2	Pick #7	10.45	0.56	s23	27.5	11	8	2	Four players
8	Player4	Player1	Pick #8	9.56	0.86	s11	31.75	13	11	5	Four players
8	Player1	Player1	Pick #1	13.24	1.58	s23	7	1	1	15	Four players
8	Player2	Player2	Pick #2	10.74	1.44	s8	13.5	4	4	14	Four players
8	Player3	Player3	Pick #3	10.28	2.41	s15	15.5	5	7	22	Four players
